ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,K459-E636,D595-K688
100.0,154.5,64.66,59.625,144.02,2.89,5.38,2.64
200.0,148.54,63.77,58.875,141.54,3.96,3.28,3.14
300.0,146.2,63.88,58.125,141.54,5.75,9.5,2.79
400.0,142.05,63.73,57.375,140.66,3.15,8.03,2.87
500.0,144.71,62.77,56.625,138.28,2.91,6.4,2.7
600.0,142.38,62.11,55.875,137.11,3.5,6.22,2.97
700.0,142.48,61.94,55.125,136.59,2.83,9.21,2.62
800.0,139.39,62.12,54.375,136.66,2.83,8.85,2.75
900.0,139.12,62.24,53.625,137.04,2.92,8.13,2.74
1000.0,139.56,62.33,52.875,137.47,2.84,9.34,2.64
1100.0,136.29,61.78,52.125,135.15,2.89,8.59,2.72
1200.0,133.66,61.42,51.375,134.47,4.47,13.39,2.77
1300.0,134.36,61.38,50.625,134.55,6.78,11.5,2.92
1400.0,131.72,60.33,49.875,131.74,3.39,9.71,2.95
1500.0,133.83,60.4,49.125,131.94,11.2,8.93,8.34
1600.0,130.59,60.98,48.375,132.81,6.68,14.51,2.83
1700.0,128.88,61.1,47.625,133.42,8.0,12.81,2.85
1800.0,129.22,61.37,46.875,133.43,6.72,9.04,2.74
1900.0,132.5,61.97,46.125,135.0,7.45,10.44,2.78
2000.0,128.94,61.68,45.375,134.03,7.8,8.35,2.78
2100.0,134.43,62.15,44.625,136.47,7.66,7.51,2.88
2200.0,133.2,61.61,43.875,134.84,7.55,6.83,2.73
2300.0,129.5,60.95,43.125,132.27,7.71,7.77,2.67
2400.0,127.86,60.68,42.375,131.65,7.29,7.56,7.84
2500.0,128.18,60.7,41.625,131.83,10.79,7.04,9.48
2600.0,130.41,60.72,40.875,132.79,12.58,7.01,11.12
2700.0,130.55,60.89,40.125,133.1,10.5,7.43,9.47
2800.0,130.87,61.28,39.375,134.04,10.48,6.42,10.37
2900.0,132.22,61.65,38.625,135.03,9.3,7.86,8.9
3000.0,134.21,61.55,37.875,134.56,6.93,6.55,7.48
3100.0,132.68,60.98,37.125,133.21,6.21,8.64,5.72
3200.0,132.03,61.05,36.375,133.15,5.73,6.76,6.39
3300.0,130.29,60.82,35.625,132.43,4.96,7.65,5.33
3400.0,127.4,60.66,34.875,131.79,9.03,6.82,9.58
3500.0,127.46,60.99,34.125,132.94,9.65,6.46,8.4
3600.0,123.5,60.72,33.375,131.66,10.03,6.32,11.04
3700.0,125.69,60.52,32.625,131.17,11.49,6.63,10.46
3800.0,125.65,60.12,31.875,129.67,11.24,7.51,10.66
3900.0,127.94,60.72,31.125,131.71,6.87,7.15,3.03
4000.0,125.04,60.17,30.375,130.4,12.32,7.37,10.32
4100.0,127.23,60.55,29.625,131.27,10.93,6.91,7.51
4200.0,126.06,60.59,28.875,131.86,8.0,7.33,3.06
4300.0,124.96,60.27,28.125,129.95,7.96,7.18,2.86
4400.0,125.44,60.09,27.375,130.44,12.03,7.41,7.98
4500.0,126.31,60.01,26.625,129.73,9.33,7.15,5.82
4600.0,126.47,60.3,25.875,130.36,12.72,6.82,8.86
4700.0,127.43,60.39,25.125,132.14,7.43,7.25,2.9
4800.0,126.1,60.31,24.375,130.51,8.84,6.77,6.95
4900.0,126.49,60.14,23.625,130.09,10.54,6.62,6.21
5000.0,125.69,60.74,22.875,131.79,7.92,6.93,3.04
5100.0,123.77,60.87,22.125,131.99,9.03,7.32,5.03
5200.0,124.35,60.66,21.375,131.35,9.89,7.28,6.51
5300.0,124.08,60.13,20.625,130.09,12.26,7.46,10.64
5400.0,124.31,59.33,19.875,128.17,10.22,7.58,8.9
5500.0,121.75,58.57,19.125,125.49,11.32,7.05,7.79
5600.0,122.29,58.49,18.375,125.14,7.9,9.74,3.02
5700.0,124.52,58.52,17.625,125.56,10.41,8.38,6.08
5800.0,123.96,58.41,16.875,125.71,12.04,7.1,7.29
5900.0,125.86,58.66,16.125,126.06,8.93,6.81,5.15
6000.0,124.11,59.2,15.375,127.27,11.06,7.21,9.78
6100.0,123.23,58.68,14.625,126.33,9.76,7.0,7.04
6200.0,122.29,58.29,13.875,124.91,7.57,7.22,6.0
6300.0,122.7,57.67,13.125,123.71,12.09,7.6,8.36
6400.0,117.64,57.42,12.375,122.36,9.02,7.12,8.17
6500.0,116.89,57.4,11.625,122.09,14.02,7.39,10.13
6600.0,115.06,56.62,10.875,119.99,11.27,7.78,9.46
6700.0,113.3,57.0,10.125,120.16,8.53,7.0,7.42
6800.0,113.01,56.72,9.375,119.92,7.28,16.0,3.53
6900.0,116.85,57.95,8.625,123.22,7.0,15.8,3.55
7000.0,114.15,58.2,7.875,123.43,7.1,16.7,4.07
7100.0,113.41,57.53,7.125,121.64,10.35,17.69,9.94
7200.0,114.79,57.26,6.375,121.29,10.23,16.3,8.43
7300.0,114.15,57.3,5.625,121.34,8.32,13.83,6.38
7400.0,112.61,57.02,4.875,120.2,6.8,18.43,3.11
7500.0,114.0,57.21,4.125,120.36,6.19,16.66,2.78
7600.0,114.27,57.46,3.375,121.33,7.14,15.98,6.79
7700.0,114.71,57.4,2.625,121.62,10.75,17.52,7.23
7800.0,111.9,56.51,1.875,118.92,5.89,20.25,7.27
7900.0,108.6,56.04,1.125,117.86,11.15,17.79,11.59
8000.0,110.34,56.44,0.375,119.0,11.8,17.87,10.03
