ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,K459-E636,D595-K688
100.0,153.26,62.13,0.001,137.65,2.68,6.89,2.73
200.0,149.91,61.31,0.001,135.49,3.0,6.66,2.88
300.0,150.39,60.75,0.001,132.99,2.99,9.19,3.04
400.0,150.54,60.8,0.001,133.31,2.79,8.01,2.81
500.0,153.91,60.86,0.001,133.73,2.81,7.99,2.91
600.0,152.35,61.31,0.001,135.17,2.72,5.06,2.59
700.0,149.55,61.01,0.001,134.2,2.8,11.81,2.72
800.0,149.23,60.61,0.001,133.08,2.72,9.58,2.84
900.0,150.14,61.02,0.001,134.21,2.64,10.85,2.59
1000.0,149.53,60.95,0.001,134.1,2.65,10.41,2.77
1100.0,149.21,60.95,0.001,133.69,2.8,8.87,2.64
1200.0,150.36,60.91,0.001,133.62,2.69,12.24,2.57
1300.0,149.46,60.8,0.001,133.22,2.77,10.4,2.68
1400.0,145.24,60.78,0.001,133.74,2.79,13.12,2.78
1500.0,146.65,60.74,0.001,132.67,2.81,8.67,2.85
1600.0,144.82,60.05,0.001,130.68,2.9,9.52,2.81
1700.0,145.86,59.64,0.001,129.92,2.73,11.77,2.82
1800.0,144.6,59.64,0.001,129.53,2.71,11.09,2.77
1900.0,145.01,59.8,0.001,129.77,2.7,7.08,2.88
2000.0,142.61,59.75,0.001,129.37,2.72,9.58,3.13
2100.0,144.67,60.04,0.001,130.18,2.75,11.02,2.75
2200.0,144.95,60.27,0.001,130.65,3.27,13.37,2.83
2300.0,144.58,59.77,0.001,129.27,2.9,12.52,3.05
2400.0,143.74,59.66,0.001,128.77,2.85,11.66,2.74
2500.0,142.18,59.06,0.001,126.76,2.7,11.68,2.81
2600.0,140.17,59.27,0.001,126.98,3.28,12.29,2.83
2700.0,138.73,59.48,0.001,127.46,2.97,10.5,3.12
2800.0,137.64,59.26,0.001,127.06,2.98,13.17,2.73
2900.0,138.06,59.01,0.001,125.9,2.84,11.55,2.64
3000.0,138.13,59.53,0.001,127.49,2.88,12.19,2.91
3100.0,137.49,59.01,0.001,126.25,3.02,12.72,2.79
3200.0,140.06,59.66,0.001,128.8,3.22,13.02,2.88
3300.0,139.53,59.46,0.001,127.71,2.71,12.22,2.78
3400.0,140.41,59.5,0.001,128.16,2.76,13.57,2.8
3500.0,141.95,60.2,0.001,130.04,2.73,15.02,2.94
3600.0,140.91,59.55,0.001,128.13,2.93,13.24,2.85
3700.0,137.95,59.57,0.001,128.24,2.86,12.15,2.8
3800.0,137.35,59.32,0.001,127.68,2.72,12.35,2.64
3900.0,137.44,59.45,0.001,127.55,2.66,12.83,3.01
4000.0,136.53,59.27,0.001,127.1,2.66,12.69,2.8
4100.0,138.75,59.14,0.0,127.28,2.65,12.86,2.64
4200.0,138.49,59.27,0.0,127.27,2.79,12.76,2.93
4300.0,138.98,59.41,0.0,127.76,2.72,12.76,3.78
4400.0,138.78,58.92,0.0,125.98,3.08,12.14,2.79
4500.0,139.14,59.69,0.0,128.33,2.6,7.93,2.79
4600.0,139.96,59.42,0.0,127.94,2.71,8.52,4.26
4700.0,140.6,60.01,0.0,130.01,2.66,13.71,2.69
4800.0,142.55,60.25,0.0,130.16,2.77,12.09,2.77
4900.0,143.76,60.11,0.0,130.32,2.9,12.98,2.72
5000.0,140.8,60.02,0.0,129.31,2.83,13.81,2.94
5100.0,143.54,59.8,0.0,128.92,2.72,13.97,2.68
5200.0,140.98,60.06,0.0,129.37,2.89,13.07,3.48
5300.0,142.45,59.94,0.0,129.53,2.83,13.14,5.97
5400.0,144.03,59.73,0.0,128.98,2.76,13.32,2.91
5500.0,142.1,60.18,0.0,130.09,2.74,15.31,2.96
5600.0,144.42,60.0,0.0,129.27,2.93,13.84,2.67
5700.0,141.18,59.62,0.0,128.27,2.7,13.65,2.72
5800.0,142.75,59.56,0.0,128.15,2.79,14.91,3.02
5900.0,145.04,60.28,0.0,130.13,2.69,12.57,3.64
6000.0,143.3,60.52,0.0,130.88,2.87,12.34,2.83
6100.0,145.0,60.54,0.0,130.97,2.7,13.18,2.76
6200.0,144.47,60.53,0.0,131.13,2.81,13.96,2.86
6300.0,143.01,60.48,0.0,130.87,2.72,11.55,2.74
6400.0,142.13,60.79,0.0,131.78,2.65,13.35,2.7
6500.0,141.59,60.02,0.0,129.52,2.77,11.31,2.77
6600.0,141.24,59.93,0.0,129.48,2.82,11.78,2.71
6700.0,141.79,60.05,0.0,129.66,2.68,11.23,4.47
6800.0,141.04,59.29,0.0,127.23,2.72,11.05,3.15
6900.0,140.81,59.66,0.0,128.24,2.81,14.14,3.3
7000.0,142.18,59.61,0.0,128.66,2.89,12.98,2.86
7100.0,144.94,60.17,0.0,130.28,2.62,11.24,2.64
7200.0,144.43,60.26,0.0,130.55,2.71,7.89,2.71
7300.0,147.86,60.02,0.0,129.95,2.72,13.38,2.63
7400.0,143.71,60.34,0.0,131.01,5.66,11.9,2.75
7500.0,144.99,59.87,0.0,129.61,9.2,12.38,6.54
7600.0,143.93,60.02,0.0,130.28,12.99,14.51,7.98
7700.0,144.37,60.86,0.0,132.44,9.24,12.37,5.61
7800.0,143.3,60.53,0.0,131.64,7.01,9.35,2.77
7900.0,144.25,60.31,0.0,130.56,12.73,14.66,8.36
8000.0,143.2,60.45,0.0,130.71,10.15,11.63,6.68
