ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,K459-E636,D595-K688
100.0,152.98,65.09,59.625,147.59,2.72,10.49,2.86
200.0,150.52,64.72,58.875,146.7,2.9,10.41,2.79
300.0,151.39,64.52,58.125,146.18,2.83,10.99,2.84
400.0,149.27,64.54,57.375,146.4,2.63,11.85,2.75
500.0,148.06,64.56,56.625,146.13,2.9,11.67,2.82
600.0,147.17,65.32,55.875,149.0,2.83,10.91,2.72
700.0,148.3,64.71,55.125,146.89,2.7,13.97,2.95
800.0,149.11,64.71,54.375,147.22,2.82,9.87,2.83
900.0,149.62,64.26,53.625,145.87,2.94,9.64,2.76
1000.0,148.5,64.47,52.875,146.47,2.75,2.82,2.96
1100.0,145.41,63.61,52.125,143.23,2.95,2.81,2.62
1200.0,145.01,63.71,51.375,144.04,2.74,2.88,3.03
1300.0,142.17,62.84,50.625,141.67,2.79,2.78,2.8
1400.0,141.5,63.07,49.875,142.17,2.76,3.1,2.74
1500.0,140.07,62.86,49.125,141.09,2.74,2.95,2.87
1600.0,140.78,62.61,48.375,140.19,2.83,3.6,2.84
1700.0,140.49,62.6,47.625,140.39,2.67,3.24,2.76
1800.0,139.48,63.04,46.875,142.14,2.67,2.58,2.68
1900.0,139.69,63.06,46.125,141.73,2.83,3.05,2.67
2000.0,139.83,63.14,45.375,141.66,2.89,2.68,2.81
2100.0,140.02,63.6,44.625,142.91,2.8,2.88,2.86
2200.0,141.75,63.31,43.875,143.22,2.72,4.34,2.79
2300.0,141.88,64.02,43.125,144.86,2.89,8.58,3.26
2400.0,136.59,64.2,42.375,145.02,2.8,8.19,4.75
2500.0,141.63,63.97,41.625,144.5,2.71,7.08,5.34
2600.0,139.13,63.99,40.875,144.92,2.89,6.16,5.05
2700.0,136.62,63.37,40.125,142.4,2.96,6.67,5.09
2800.0,139.09,62.72,39.375,140.84,5.65,6.52,6.71
2900.0,141.1,63.15,38.625,142.08,3.06,7.01,5.76
3000.0,144.11,63.53,37.875,143.25,2.88,5.4,4.79
3100.0,143.3,63.38,37.125,142.43,2.85,3.06,4.86
3200.0,146.62,62.86,36.375,141.83,2.77,2.92,5.95
3300.0,145.12,63.6,35.625,144.12,2.77,2.88,2.73
3400.0,144.89,63.35,34.875,143.46,2.68,2.75,4.72
3500.0,144.67,63.0,34.125,142.87,6.61,2.68,7.4
3600.0,143.37,63.57,33.375,144.82,5.76,2.92,7.43
3700.0,142.32,63.93,32.625,145.82,7.43,2.81,5.73
3800.0,140.32,63.99,31.875,145.7,4.09,6.12,4.92
3900.0,142.48,63.91,31.125,144.87,7.26,6.73,7.41
4000.0,140.24,64.09,30.375,145.8,4.12,6.84,6.22
4100.0,138.39,63.52,29.625,144.25,4.3,7.41,6.72
4200.0,136.36,63.3,28.875,143.54,7.31,4.98,8.49
4300.0,139.74,63.39,28.125,143.6,3.83,5.95,6.29
4400.0,137.22,62.19,27.375,140.28,2.82,6.41,5.71
4500.0,140.87,63.19,26.625,143.45,8.75,6.31,8.16
4600.0,144.03,62.99,25.875,143.06,5.85,9.67,6.14
4700.0,146.28,62.56,25.125,141.98,2.9,5.51,5.45
4800.0,142.31,63.23,24.375,143.59,2.99,2.8,5.87
4900.0,140.98,62.67,23.625,141.89,2.93,2.64,5.58
5000.0,140.82,62.41,22.875,141.36,6.1,2.76,7.06
5100.0,143.12,62.44,22.125,141.09,3.36,2.76,5.6
5200.0,143.33,62.9,21.375,142.95,3.26,2.78,5.62
5300.0,145.55,62.7,20.625,142.37,2.91,5.54,5.52
5400.0,147.03,62.51,19.875,141.45,4.73,4.96,5.56
5500.0,146.2,62.83,19.125,143.34,4.04,2.76,5.65
5600.0,145.87,62.98,18.375,143.4,2.72,2.76,5.63
5700.0,142.16,62.08,17.625,140.78,4.55,2.8,7.06
5800.0,143.17,62.06,16.875,140.8,2.65,2.78,5.64
5900.0,143.61,62.16,16.125,140.44,2.88,2.72,5.57
6000.0,144.29,62.4,15.375,141.57,3.18,2.78,5.21
6100.0,140.72,62.08,14.625,139.82,4.26,2.8,6.39
6200.0,144.55,62.79,13.875,142.92,5.26,2.95,7.34
6300.0,141.65,62.26,13.125,141.03,3.36,2.8,6.11
6400.0,141.79,62.43,12.375,141.76,2.68,2.69,5.33
6500.0,144.41,62.46,11.625,141.55,2.66,2.74,5.58
6600.0,141.15,62.02,10.875,139.82,2.72,2.81,6.05
6700.0,139.42,61.98,10.125,140.79,2.8,2.73,5.77
6800.0,136.84,61.91,9.375,140.56,3.14,2.81,5.92
6900.0,136.62,61.86,8.625,140.29,2.94,2.69,5.88
7000.0,135.72,61.51,7.875,138.99,2.93,2.78,5.73
7100.0,136.01,61.37,7.125,138.84,2.92,2.6,5.22
7200.0,135.81,61.91,6.375,139.2,7.98,3.89,8.19
7300.0,139.05,61.77,5.625,139.92,2.81,3.04,6.46
7400.0,140.61,62.34,4.875,141.26,2.79,2.96,5.78
7500.0,140.44,62.03,4.125,140.11,5.69,2.72,6.74
7600.0,141.45,62.17,3.375,141.06,2.72,2.78,5.44
7700.0,142.03,62.27,2.625,141.18,2.8,2.74,5.55
7800.0,141.77,62.54,1.875,141.82,2.72,7.01,5.22
7900.0,143.63,62.05,1.125,140.35,2.95,9.38,5.78
8000.0,145.05,62.31,0.375,141.19,3.58,10.04,5.98
