ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,D595-K688
100.0,149.9,63.52,59.625,145.14,3.2,2.82
200.0,149.31,64.01,58.875,146.4,2.92,2.87
300.0,152.39,64.42,58.125,147.62,2.97,2.8
400.0,154.5,63.51,57.375,145.05,2.9,2.75
500.0,151.14,63.62,56.625,145.59,2.88,2.69
600.0,150.9,63.21,55.875,144.16,2.67,2.79
700.0,146.86,62.76,55.125,143.36,8.72,8.79
800.0,143.74,61.88,54.375,140.91,9.08,8.07
900.0,149.07,62.83,53.625,143.02,2.88,5.29
1000.0,148.45,62.33,52.875,141.56,2.8,2.66
1100.0,147.89,62.82,52.125,143.01,2.67,3.03
1200.0,145.9,62.61,51.375,142.55,2.71,2.71
1300.0,145.74,62.68,50.625,142.93,3.07,2.94
1400.0,146.88,62.18,49.875,140.36,2.68,3.05
1500.0,145.71,62.24,49.125,141.04,2.68,2.93
1600.0,148.91,63.34,48.375,143.81,2.78,2.7
1700.0,145.65,63.06,47.625,143.78,3.26,4.88
1800.0,147.02,62.46,46.875,142.78,2.94,2.92
1900.0,151.01,62.87,46.125,142.61,2.82,5.17
2000.0,151.39,63.26,45.375,144.01,2.87,2.73
2100.0,150.96,63.08,44.625,143.5,2.94,2.76
2200.0,148.54,62.32,43.875,141.37,2.71,2.92
2300.0,148.77,62.59,43.125,141.39,2.85,2.77
2400.0,148.39,62.7,42.375,142.76,2.85,2.69
2500.0,149.19,62.53,41.625,142.16,2.8,2.96
2600.0,147.83,62.92,40.875,143.0,2.8,2.88
2700.0,146.24,62.52,40.125,141.6,3.03,3.34
2800.0,142.54,61.93,39.375,140.0,2.62,3.63
2900.0,138.84,62.1,38.625,140.98,2.91,2.87
3000.0,142.64,62.26,37.875,141.03,2.73,2.84
3100.0,142.24,61.08,37.125,138.09,2.75,2.75
3200.0,140.44,61.02,36.375,137.35,2.68,2.8
3300.0,139.05,61.26,35.625,138.46,2.85,2.71
3400.0,143.61,61.65,34.875,139.4,2.66,2.98
3500.0,145.17,62.42,34.125,141.58,2.94,2.76
3600.0,141.03,62.08,33.375,139.86,2.76,2.62
3700.0,140.04,62.45,32.625,141.16,3.26,2.87
3800.0,140.28,61.88,31.875,140.15,2.99,2.75
3900.0,138.11,61.18,31.125,137.97,2.75,2.92
4000.0,138.81,61.43,30.375,138.58,2.97,2.92
4100.0,138.32,61.33,29.625,138.08,2.84,2.9
4200.0,140.0,60.89,28.875,136.64,2.8,2.88
4300.0,138.52,61.05,28.125,137.43,2.9,2.77
4400.0,136.63,60.99,27.375,137.25,2.65,2.97
4500.0,137.5,60.69,26.625,135.89,2.69,4.02
4600.0,136.74,60.07,25.875,134.72,2.81,2.75
4700.0,136.74,59.92,25.125,134.58,2.69,2.72
4800.0,133.17,60.23,24.375,135.02,2.77,2.97
4900.0,136.88,60.23,23.625,134.58,2.91,2.97
5000.0,137.78,60.9,22.875,137.02,2.76,2.62
5100.0,136.54,60.02,22.125,134.37,8.03,7.52
5200.0,140.0,60.02,21.375,134.78,7.24,6.93
5300.0,140.82,60.58,20.625,136.14,7.85,7.11
5400.0,136.78,60.48,19.875,135.49,2.93,2.92
5500.0,137.27,60.62,19.125,135.7,4.09,3.78
5600.0,134.92,60.63,18.375,135.94,5.87,6.07
5700.0,136.77,60.28,17.625,134.9,2.83,3.09
5800.0,138.13,60.36,16.875,135.76,2.95,2.86
5900.0,135.0,59.83,16.125,134.38,2.7,2.78
6000.0,135.55,60.59,15.375,135.98,6.97,3.08
6100.0,132.57,60.22,14.625,135.29,7.89,2.81
6200.0,133.64,60.07,13.875,134.59,6.72,2.94
6300.0,131.87,59.94,13.125,133.9,8.2,2.8
6400.0,134.11,59.85,12.375,133.95,5.71,2.88
6500.0,132.81,59.78,11.625,133.22,3.06,3.71
6600.0,133.62,59.75,10.875,133.13,7.2,2.92
6700.0,130.71,58.77,10.125,130.17,7.97,2.8
6800.0,128.23,59.36,9.375,131.44,4.67,2.68
6900.0,127.31,58.83,8.625,130.53,6.97,3.21
7000.0,125.85,58.32,7.875,128.59,5.9,2.87
7100.0,125.91,57.96,7.125,128.09,6.42,2.83
7200.0,124.04,58.2,6.375,128.61,7.13,2.87
7300.0,125.95,58.39,5.625,128.8,3.0,2.69
7400.0,126.59,58.81,4.875,130.33,6.66,2.66
7500.0,128.03,58.43,4.125,129.53,5.46,2.85
7600.0,125.83,58.59,3.375,129.34,5.62,2.85
7700.0,122.84,57.85,2.625,126.44,6.42,3.03
7800.0,121.69,57.73,1.875,126.35,5.74,2.72
7900.0,119.65,57.61,1.125,125.57,6.06,2.72
8000.0,118.89,57.81,0.375,125.53,5.68,2.84
