ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,D595-K688
100.0,153.01,63.18,0.001,142.3,2.73,2.68
200.0,154.93,63.53,0.001,143.0,2.92,2.71
300.0,153.1,63.29,0.001,142.16,2.97,2.74
400.0,151.28,62.83,0.001,140.24,2.93,2.91
500.0,149.17,62.13,0.001,139.32,3.02,2.65
600.0,147.73,62.33,0.001,139.68,2.76,2.84
700.0,145.18,62.23,0.001,138.75,2.78,2.83
800.0,146.65,61.73,0.001,137.79,2.78,2.82
900.0,147.11,61.76,0.001,138.73,2.73,2.85
1000.0,146.04,61.58,0.001,137.6,2.65,2.8
1100.0,147.02,61.03,0.001,136.0,2.92,3.12
1200.0,148.06,60.98,0.001,135.88,2.76,2.79
1300.0,148.53,61.3,0.001,136.42,2.81,2.86
1400.0,148.77,61.06,0.001,135.56,3.1,3.02
1500.0,150.66,60.85,0.001,136.27,2.73,2.79
1600.0,149.49,61.73,0.001,138.31,2.84,2.73
1700.0,148.85,61.01,0.001,136.5,2.87,2.83
1800.0,149.54,61.18,0.001,137.15,2.72,2.75
1900.0,145.76,60.52,0.001,134.97,2.88,2.66
2000.0,147.34,60.95,0.001,136.3,2.78,2.71
2100.0,143.23,60.52,0.001,135.05,2.75,2.74
2200.0,146.14,60.76,0.001,135.93,2.91,2.9
2300.0,141.25,60.56,0.001,134.65,2.74,2.67
2400.0,142.45,59.76,0.001,132.24,2.71,2.87
2500.0,139.88,59.89,0.001,132.63,2.94,2.72
2600.0,140.85,59.83,0.001,132.95,3.25,2.95
2700.0,135.63,59.62,0.001,131.76,3.01,2.86
2800.0,133.53,58.68,0.001,128.58,2.77,2.66
2900.0,130.39,58.59,0.001,128.6,2.81,2.84
3000.0,135.04,58.91,0.001,128.65,3.9,2.75
3100.0,134.38,59.15,0.001,129.2,2.75,2.66
3200.0,134.2,58.82,0.001,128.58,2.83,2.75
3300.0,133.48,58.57,0.001,127.77,2.71,2.7
3400.0,133.72,58.99,0.001,129.15,7.89,7.07
3500.0,136.6,59.48,0.001,131.22,2.76,2.73
3600.0,135.69,59.54,0.001,130.87,2.76,2.62
3700.0,136.91,59.31,0.001,129.73,2.8,2.74
3800.0,137.23,59.46,0.001,130.63,4.11,2.86
3900.0,137.53,59.41,0.001,130.66,3.48,3.5
4000.0,139.39,59.6,0.001,131.8,3.24,2.75
4100.0,138.6,59.49,0.0,131.84,2.79,2.77
4200.0,137.9,59.51,0.0,131.56,2.84,2.62
4300.0,133.54,59.22,0.0,130.2,2.72,2.75
4400.0,135.67,59.05,0.0,130.3,3.11,3.02
4500.0,138.17,59.24,0.0,130.15,2.99,3.02
4600.0,136.79,59.34,0.0,131.4,2.78,2.86
4700.0,135.77,59.44,0.0,131.4,3.07,2.69
4800.0,136.33,59.47,0.0,131.54,2.73,2.81
4900.0,136.8,59.57,0.0,130.82,2.76,2.81
5000.0,135.84,59.14,0.0,129.99,3.54,2.73
5100.0,135.52,59.74,0.0,131.6,3.08,2.77
5200.0,137.87,59.73,0.0,132.77,3.27,2.98
5300.0,137.84,59.72,0.0,131.42,2.84,2.73
5400.0,137.15,59.82,0.0,131.71,3.45,2.63
5500.0,134.95,59.39,0.0,130.39,3.03,2.67
5600.0,135.71,59.73,0.0,130.94,2.83,2.73
5700.0,136.74,59.67,0.0,131.35,4.61,2.62
5800.0,136.87,59.44,0.0,130.94,9.03,8.02
5900.0,135.12,59.22,0.0,130.17,4.63,2.77
6000.0,135.88,59.25,0.0,129.73,2.73,2.7
6100.0,136.96,59.59,0.0,130.53,3.31,2.7
6200.0,136.06,59.17,0.0,130.07,3.22,2.89
6300.0,132.4,58.76,0.0,128.43,3.42,2.89
6400.0,131.56,58.58,0.0,128.32,5.52,4.2
6500.0,131.72,58.65,0.0,128.75,7.12,2.73
6600.0,131.56,58.39,0.0,127.99,4.36,2.76
6700.0,133.29,59.08,0.0,129.86,5.21,2.77
6800.0,133.97,58.97,0.0,129.14,5.38,2.77
6900.0,135.58,59.02,0.0,129.58,5.53,2.79
7000.0,133.91,58.52,0.0,128.3,3.5,2.85
7100.0,131.78,58.16,0.0,127.18,5.31,2.71
7200.0,131.58,58.31,0.0,127.65,4.48,2.89
7300.0,130.89,59.17,0.0,130.04,3.15,2.72
7400.0,134.17,59.3,0.0,129.67,4.55,2.79
7500.0,137.12,59.93,0.0,132.64,3.87,2.96
7600.0,136.91,59.42,0.0,131.32,3.54,2.72
7700.0,138.2,59.92,0.0,131.72,2.67,2.61
7800.0,138.52,59.86,0.0,132.49,2.99,2.77
7900.0,135.48,59.64,0.0,131.59,5.07,2.87
8000.0,136.37,59.78,0.0,132.17,4.75,3.05
