ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,D595-K688
100.0,153.95,64.73,59.625,147.61,2.86,2.68
200.0,153.35,64.58,58.875,146.43,3.06,3.0
300.0,151.85,64.29,58.125,145.64,3.0,2.77
400.0,153.36,64.2,57.375,145.61,2.84,3.07
500.0,155.41,64.49,56.625,147.25,2.93,2.82
600.0,154.24,64.93,55.875,147.87,2.97,2.73
700.0,152.23,64.24,55.125,145.97,2.74,2.68
800.0,147.89,64.52,54.375,146.44,2.93,2.8
900.0,146.83,64.41,53.625,145.75,2.89,2.77
1000.0,146.72,64.45,52.875,145.82,2.73,2.79
1100.0,145.88,64.69,52.125,146.7,2.69,2.83
1200.0,145.21,64.63,51.375,146.66,2.63,2.85
1300.0,146.08,65.77,50.625,149.08,2.88,2.74
1400.0,143.9,65.53,49.875,148.39,2.66,2.67
1500.0,143.67,65.45,49.125,148.56,2.84,4.3
1600.0,143.53,64.96,48.375,147.11,2.83,2.93
1700.0,144.32,65.32,47.625,147.94,2.63,2.86
1800.0,144.8,65.26,46.875,147.59,2.7,2.92
1900.0,143.62,64.71,46.125,146.34,2.65,2.99
2000.0,146.37,64.59,45.375,146.89,2.66,2.67
2100.0,144.21,64.4,44.625,146.26,2.89,2.89
2200.0,146.44,64.49,43.875,146.27,2.77,2.74
2300.0,144.06,63.65,43.125,144.36,3.01,2.74
2400.0,142.08,64.25,42.375,145.09,2.78,2.79
2500.0,140.06,63.88,41.625,143.62,2.82,3.09
2600.0,141.06,63.27,40.875,142.17,2.72,2.7
2700.0,142.69,63.32,40.125,142.59,2.79,2.65
2800.0,140.77,63.29,39.375,142.73,2.74,2.83
2900.0,139.98,63.1,38.625,142.02,2.68,2.87
3000.0,141.54,62.89,37.875,141.78,2.68,2.73
3100.0,138.93,62.91,37.125,141.32,2.9,2.75
3200.0,141.47,63.06,36.375,141.7,2.73,2.86
3300.0,141.27,63.24,35.625,142.45,2.92,2.9
3400.0,138.3,63.06,34.875,141.45,2.95,2.77
3500.0,140.18,63.58,34.125,142.75,2.75,2.83
3600.0,138.13,63.36,33.375,141.85,3.02,2.77
3700.0,136.82,62.99,32.625,140.5,2.88,2.68
3800.0,137.65,62.89,31.875,141.23,2.9,2.94
3900.0,136.13,62.76,31.125,140.43,2.82,2.86
4000.0,136.41,63.02,30.375,141.66,2.77,2.8
4100.0,133.54,61.73,29.625,137.66,2.73,2.82
4200.0,134.96,61.41,28.875,136.6,2.64,2.79
4300.0,136.6,61.69,28.125,137.77,2.71,2.8
4400.0,134.25,61.09,27.375,136.08,2.75,3.01
4500.0,134.2,60.89,26.625,135.38,2.82,2.68
4600.0,129.39,60.66,25.875,134.24,2.64,2.72
4700.0,128.63,61.23,25.125,135.21,2.82,2.65
4800.0,129.35,60.4,24.375,132.89,2.89,2.81
4900.0,131.09,60.86,23.625,134.26,2.73,2.82
5000.0,130.23,60.96,22.875,134.78,2.64,2.68
5100.0,131.44,60.76,22.125,134.49,2.84,3.12
5200.0,129.61,60.94,21.375,134.52,2.91,2.91
5300.0,133.21,61.31,20.625,135.29,2.64,2.6
5400.0,132.5,61.09,19.875,134.86,2.84,2.67
5500.0,130.92,60.55,19.125,132.88,2.62,2.71
5600.0,130.01,60.72,18.375,133.82,2.65,2.69
5700.0,130.68,61.09,17.625,135.07,2.75,2.74
5800.0,132.8,60.69,16.875,134.07,2.72,2.73
5900.0,132.24,60.68,16.125,133.42,2.82,2.74
6000.0,132.57,60.62,15.375,133.4,2.64,2.89
6100.0,133.09,60.71,14.625,133.57,2.69,2.73
6200.0,130.08,61.14,13.875,134.64,2.76,2.89
6300.0,134.63,60.92,13.125,134.38,2.85,2.83
6400.0,130.93,60.16,12.375,131.8,2.55,2.79
6500.0,129.72,59.72,11.625,130.41,2.93,2.71
6600.0,129.25,59.61,10.875,130.24,2.72,2.68
6700.0,126.97,58.95,10.125,127.98,2.67,2.64
6800.0,127.61,58.81,9.375,128.01,2.71,2.67
6900.0,125.13,58.76,8.625,127.38,2.85,3.05
7000.0,124.1,58.59,7.875,126.49,2.77,2.95
7100.0,123.51,59.13,7.125,128.5,2.87,3.01
7200.0,124.82,58.58,6.375,126.48,2.7,2.96
7300.0,124.7,58.8,5.625,127.4,2.81,2.68
7400.0,125.32,58.98,4.875,128.29,2.79,2.71
7500.0,122.34,58.57,4.125,126.61,3.05,2.76
7600.0,121.97,58.38,3.375,125.98,2.78,2.96
7700.0,121.28,58.51,2.625,126.73,2.68,2.84
7800.0,119.74,57.9,1.875,125.1,2.91,2.65
7900.0,120.45,58.24,1.125,126.57,2.82,2.88
8000.0,121.37,57.84,0.375,125.34,2.61,2.69
