ps,knee_deg,Rg_A,f_pN,head_foot_A,E598-K459,D457-K688,K459-E636,D595-K688
100.0,158.62,64.29,59.625,147.16,2.94,2.74,2.59,2.8
200.0,160.38,63.77,58.875,145.88,2.89,2.85,2.88,2.79
300.0,163.05,63.46,58.125,144.95,2.77,2.72,2.68,2.9
400.0,161.99,63.91,57.375,146.89,3.38,3.08,3.29,2.71
500.0,161.18,64.06,56.625,146.53,2.88,2.76,2.88,2.79
600.0,160.87,64.11,55.875,147.06,2.84,2.73,2.83,2.93
700.0,158.15,63.47,55.125,145.04,2.96,2.75,2.77,2.89
800.0,159.77,63.64,54.375,146.02,2.9,2.75,2.8,2.74
900.0,162.86,63.34,53.625,145.47,3.11,3.0,2.62,2.79
1000.0,167.45,64.1,52.875,147.47,2.78,2.7,2.95,2.67
1100.0,168.75,64.37,52.125,148.18,2.69,2.58,2.79,2.89
1200.0,168.16,63.88,51.375,146.71,2.93,2.8,2.91,2.72
1300.0,167.17,64.36,50.625,147.72,2.77,2.85,2.98,2.93
1400.0,165.17,64.16,49.875,147.05,2.76,2.62,2.72,2.88
1500.0,165.69,64.53,49.125,148.47,2.9,2.91,2.81,2.83
1600.0,163.6,64.07,48.375,146.96,2.75,2.84,2.73,2.7
1700.0,162.36,63.7,47.625,146.19,2.92,2.75,2.63,2.69
1800.0,161.75,64.54,46.875,148.07,2.67,3.05,3.01,2.89
1900.0,162.16,63.98,46.125,146.07,3.06,2.61,2.76,2.89
2000.0,159.35,63.56,45.375,145.01,2.71,2.92,2.78,2.97
2100.0,161.85,63.52,44.625,144.62,2.7,2.84,2.86,2.75
2200.0,160.05,63.63,43.875,145.1,3.21,2.73,2.69,2.73
2300.0,156.92,63.31,43.125,144.45,2.73,2.79,2.79,2.69
2400.0,157.94,63.58,42.375,145.23,2.81,2.92,2.74,2.79
2500.0,160.05,63.52,41.625,145.26,2.81,2.85,2.65,2.74
2600.0,158.82,63.28,40.875,144.24,3.03,2.72,2.88,2.6
2700.0,159.26,63.27,40.125,143.86,3.1,2.91,2.67,3.16
2800.0,160.96,63.14,39.375,143.49,2.87,2.73,2.7,3.33
2900.0,158.84,63.59,38.625,144.88,2.88,3.01,2.76,2.78
3000.0,157.39,63.4,37.875,145.38,2.87,2.75,3.0,2.98
3100.0,160.07,63.6,37.125,145.86,2.77,2.85,2.93,2.85
3200.0,161.11,64.02,36.375,147.06,2.71,2.7,2.67,2.74
3300.0,160.42,64.25,35.625,147.41,3.0,2.69,2.75,3.1
3400.0,161.09,63.58,34.875,145.28,2.79,2.92,2.73,2.76
3500.0,165.29,63.96,34.125,146.76,2.73,2.85,2.65,2.79
3600.0,167.64,64.1,33.375,146.77,2.68,2.78,2.7,2.82
3700.0,164.64,63.84,32.625,146.08,2.76,2.81,2.71,2.68
3800.0,164.16,63.7,31.875,146.13,2.99,2.67,2.65,2.93
3900.0,164.05,63.4,31.125,144.38,2.9,2.62,2.63,2.71
4000.0,162.89,63.4,30.375,144.73,2.7,2.94,2.72,2.7
4100.0,161.47,63.51,29.625,145.07,2.61,2.78,2.74,2.67
4200.0,161.43,63.76,28.875,145.84,2.72,2.7,2.59,2.65
4300.0,161.9,63.57,28.125,145.59,2.76,2.73,2.82,2.66
4400.0,160.77,63.59,27.375,145.8,2.87,2.72,2.92,2.82
4500.0,162.01,64.03,26.625,146.64,2.73,2.86,2.95,2.82
4600.0,159.58,63.48,25.875,145.46,2.82,2.83,2.76,2.78
4700.0,164.79,64.0,25.125,146.92,2.97,2.69,2.63,2.96
4800.0,163.05,63.59,24.375,145.32,2.81,2.75,2.71,2.91
4900.0,160.71,63.7,23.625,145.51,2.87,2.72,3.06,2.87
5000.0,157.84,63.31,22.875,143.93,3.53,2.92,2.69,2.84
5100.0,159.38,63.07,22.125,144.06,2.7,2.63,2.69,2.69
5200.0,157.7,63.59,21.375,146.25,2.84,2.96,2.76,2.81
5300.0,155.78,63.34,20.625,145.04,2.62,2.93,2.8,2.76
5400.0,154.7,63.17,19.875,144.58,2.78,2.7,2.75,2.79
5500.0,157.92,63.34,19.125,144.72,2.78,2.99,2.77,2.69
5600.0,156.39,62.76,18.375,143.1,2.8,2.7,2.8,2.93
5700.0,154.84,62.71,17.625,142.96,2.91,3.08,2.71,2.83
5800.0,151.57,61.89,16.875,139.83,2.82,2.87,2.86,3.31
5900.0,152.23,61.49,16.125,138.89,2.83,2.68,2.86,2.71
6000.0,152.18,61.63,15.375,139.37,2.77,2.76,2.74,2.68
6100.0,152.59,61.51,14.625,138.91,3.18,2.88,2.76,2.75
6200.0,150.4,61.67,13.875,139.23,2.74,2.74,2.8,2.99
6300.0,150.15,62.09,13.125,140.7,2.8,2.92,3.05,2.7
6400.0,151.14,61.9,12.375,139.91,2.78,2.77,2.99,2.8
