ps,knee_deg,Rg_A,f_pN,head_foot_A,E598-K459,D457-K688,K459-E636,D595-K688
100.0,145.7,61.77,0.001,136.12,2.84,2.78,2.97,2.63
200.0,142.42,61.72,0.001,136.08,2.97,2.66,2.66,2.76
300.0,140.52,61.76,0.001,136.12,3.05,2.82,2.94,2.78
400.0,143.17,61.26,0.001,134.7,4.14,2.68,8.58,2.76
500.0,142.47,61.26,0.001,134.73,2.84,3.22,3.16,2.76
600.0,140.46,61.4,0.001,134.74,3.07,2.76,2.74,2.84
700.0,140.41,60.98,0.001,134.47,2.9,3.05,2.7,5.61
800.0,141.46,60.63,0.001,133.6,3.28,2.75,3.4,2.7
900.0,140.67,61.09,0.001,134.22,2.69,2.73,4.98,2.8
1000.0,142.05,61.17,0.001,134.21,3.07,4.8,3.24,6.35
1100.0,141.29,60.6,0.001,132.49,2.81,2.88,2.64,2.71
1200.0,141.65,60.87,0.001,132.78,2.72,2.69,2.85,2.74
1300.0,139.94,60.62,0.001,132.21,2.79,2.72,2.76,5.1
1400.0,143.28,60.97,0.001,134.05,2.75,2.92,2.82,3.98
1500.0,139.82,60.62,0.001,132.71,2.78,2.65,6.93,2.76
1600.0,137.51,60.21,0.001,132.01,2.85,4.22,10.16,2.93
1700.0,138.61,59.41,0.001,130.42,6.25,2.78,9.67,2.68
1800.0,137.24,59.78,0.001,131.18,3.49,2.64,9.4,2.67
1900.0,135.06,59.51,0.001,130.56,3.05,2.73,9.32,2.79
2000.0,134.12,59.13,0.001,129.17,3.03,2.95,10.8,2.79
2100.0,134.93,59.02,0.001,128.9,3.12,2.75,9.25,2.7
2200.0,132.48,59.45,0.001,129.64,2.94,2.94,9.34,2.71
2300.0,135.19,59.61,0.001,130.46,3.86,3.02,10.71,2.97
2400.0,137.97,60.34,0.001,132.26,7.4,2.83,5.54,3.09
2500.0,140.73,60.38,0.001,133.14,2.69,2.75,9.53,2.73
2600.0,144.67,60.34,0.001,133.06,3.0,5.99,8.74,7.04
2700.0,143.43,60.33,0.001,132.84,3.06,2.69,9.96,2.69
2800.0,139.83,60.14,0.001,131.59,5.2,2.9,8.21,2.71
2900.0,137.53,60.26,0.001,131.84,2.72,2.74,11.2,3.0
3000.0,139.64,60.15,0.001,131.37,3.07,2.81,11.76,2.77
3100.0,138.06,60.26,0.001,131.58,2.95,2.73,9.81,2.65
3200.0,137.96,59.62,0.001,129.99,2.83,2.78,9.48,2.91
3300.0,136.48,60.02,0.001,130.84,2.67,2.78,14.23,2.74
3400.0,135.79,59.89,0.001,130.5,3.01,3.02,11.75,2.83
3500.0,135.3,59.97,0.001,130.43,2.85,2.75,6.01,2.71
3600.0,141.54,60.59,0.001,133.54,7.37,2.83,9.46,2.7
3700.0,142.04,60.25,0.001,132.71,5.94,2.92,10.7,2.84
3800.0,137.25,60.11,0.001,132.16,2.85,2.8,6.83,2.82
3900.0,137.14,60.56,0.001,133.41,2.93,2.99,4.23,2.7
4000.0,134.7,59.82,0.001,131.13,2.69,2.73,5.14,2.75
4100.0,135.4,59.08,0.0,129.8,8.13,3.21,3.31,2.73
4200.0,134.08,59.36,0.0,130.6,8.72,4.97,3.14,5.05
4300.0,131.99,59.12,0.0,129.39,3.54,6.35,11.34,3.17
4400.0,131.59,58.72,0.0,127.72,2.83,3.72,9.86,2.92
4500.0,131.93,58.7,0.0,127.62,4.39,2.79,10.57,2.79
4600.0,132.06,58.78,0.0,127.72,2.8,2.87,8.51,2.75
4700.0,132.37,58.82,0.0,127.82,4.53,3.37,10.28,2.76
4800.0,131.63,58.51,0.0,126.88,2.94,3.46,9.01,2.76
4900.0,130.78,58.44,0.0,126.4,4.11,2.85,7.41,2.78
5000.0,131.86,59.01,0.0,127.56,4.45,3.01,6.63,2.61
5100.0,129.31,58.21,0.0,125.9,2.66,3.77,8.57,2.66
5200.0,130.35,58.08,0.0,125.96,2.75,2.99,6.74,2.75
5300.0,128.65,57.85,0.0,125.03,5.4,4.01,2.76,3.4
5400.0,129.92,57.39,0.0,122.86,5.39,3.0,6.29,2.76
5500.0,129.78,57.06,0.0,122.2,2.8,3.84,9.88,2.8
5600.0,127.58,57.35,0.0,122.96,5.69,3.0,7.51,2.69
5700.0,128.97,57.5,0.0,124.21,4.38,2.94,4.15,2.94
5800.0,132.4,57.2,0.0,122.61,5.64,3.02,2.75,2.74
