ps,knee_deg,Rg_A,D457-K688,D595-K688
100.0,169.38,65.73,2.89,2.92
200.0,172.87,65.04,2.79,2.71
300.0,175.09,64.44,2.88,3.27
400.0,176.48,63.86,2.95,2.79
500.0,172.52,64.1,2.74,2.73
600.0,169.99,64.1,2.78,2.92
700.0,168.03,63.61,3.08,2.72
800.0,167.22,63.32,2.7,2.65
900.0,168.85,63.02,2.65,2.73
1000.0,168.06,63.1,2.8,2.72
1100.0,167.53,62.83,2.74,2.8
1200.0,166.55,62.3,2.67,2.68
1300.0,163.05,63.33,2.94,2.71
1400.0,161.66,62.48,2.77,2.77
1500.0,159.34,61.98,3.03,3.02
1600.0,158.0,61.75,2.84,2.61
1700.0,157.92,61.16,2.82,2.85
1800.0,157.59,60.92,3.27,2.82
1900.0,158.92,60.91,6.16,2.78
2000.0,158.93,60.48,6.98,5.83
2100.0,158.94,60.3,3.54,2.94
2200.0,159.26,59.83,5.28,2.65
2300.0,157.2,59.53,3.06,2.84
2400.0,158.75,58.88,2.62,2.74
2500.0,156.93,58.74,2.95,2.81
2600.0,158.77,59.81,2.8,2.72
2700.0,157.17,59.28,2.79,2.65
2800.0,154.46,59.06,2.94,2.94
2900.0,152.43,59.56,3.27,2.61
3000.0,153.17,59.11,9.82,6.69
3100.0,155.25,58.5,5.72,2.67
3200.0,154.69,58.44,8.43,6.34
3300.0,150.35,57.85,7.65,2.7
3400.0,149.82,58.45,7.63,2.68
3500.0,151.8,58.38,7.71,2.74
3600.0,152.24,58.14,6.36,3.82
3700.0,153.5,58.04,6.72,2.83
3800.0,148.74,57.93,8.0,2.76
3900.0,149.97,58.06,11.9,7.49
4000.0,150.62,57.96,6.96,2.94
4100.0,150.44,57.8,7.02,2.97
4200.0,147.58,57.57,8.58,2.73
4300.0,146.94,57.11,7.99,2.87
4400.0,142.67,57.17,11.65,5.4
4500.0,143.86,56.64,8.48,2.8
4600.0,144.96,56.51,11.79,8.39
4700.0,146.74,56.25,7.4,2.92
4800.0,144.86,56.73,9.24,6.83
4900.0,144.72,56.71,9.83,7.14
5000.0,141.14,56.49,7.38,3.17
5100.0,142.39,55.52,7.19,2.73
5200.0,140.19,55.66,8.14,2.82
