ps,knee_deg,Rg_A,D457-K688,D595-K688
100.0,174.79,65.74,2.98,2.64
200.0,178.69,65.42,2.92,2.63
300.0,176.78,64.52,2.75,2.68
400.0,178.84,64.27,2.82,2.94
500.0,175.22,63.17,2.71,2.92
600.0,174.95,62.55,2.82,2.64
700.0,175.9,62.24,2.66,2.73
800.0,177.01,61.83,3.02,2.75
900.0,176.57,61.46,3.26,2.6
1000.0,175.07,61.92,2.78,2.79
1100.0,173.9,61.9,2.68,2.86
1200.0,174.1,62.45,2.73,3.15
1300.0,168.73,62.21,2.81,2.78
1400.0,171.3,62.19,2.77,2.65
1500.0,169.18,62.23,2.81,2.82
1600.0,171.09,61.91,2.73,2.72
1700.0,171.77,61.75,2.76,2.84
1800.0,168.74,61.32,2.7,2.68
1900.0,168.46,60.44,2.63,2.68
2000.0,167.88,60.09,2.7,2.86
2100.0,165.72,60.02,2.77,2.67
2200.0,165.63,59.94,2.68,2.84
2300.0,164.0,59.76,2.81,2.92
2400.0,162.64,59.75,2.74,2.67
2500.0,165.68,60.37,2.81,2.81
2600.0,163.05,59.79,2.69,2.83
2700.0,163.09,59.63,3.01,2.97
2800.0,162.0,59.5,2.95,2.94
2900.0,157.55,59.76,2.97,2.73
3000.0,157.54,59.4,2.81,2.72
3100.0,158.47,58.96,2.7,3.07
3200.0,158.15,58.65,2.68,2.73
3300.0,157.68,59.14,2.78,2.73
3400.0,156.62,59.24,2.88,2.86
3500.0,153.91,58.55,2.82,2.92
3600.0,153.99,58.83,2.66,2.68
3700.0,155.46,58.36,2.7,2.86
3800.0,155.74,58.91,2.7,2.73
3900.0,154.83,58.66,2.67,2.85
4000.0,157.59,58.24,2.78,2.65
4100.0,155.11,58.38,2.67,2.72
4200.0,151.26,58.01,2.81,2.79
4300.0,150.83,57.85,2.73,2.83
4400.0,151.57,57.79,2.83,2.93
4500.0,152.83,57.63,2.74,2.73
4600.0,153.19,57.67,3.37,3.07
4700.0,152.97,57.65,2.74,2.61
4800.0,153.49,57.69,3.29,3.12
4900.0,152.93,58.09,2.8,2.76
5000.0,153.73,58.48,2.86,2.73
5100.0,153.87,58.32,2.97,2.86
5200.0,153.21,58.25,2.81,2.87
5300.0,154.61,58.44,2.88,2.7
5400.0,155.86,58.85,2.67,2.68
5500.0,158.5,59.21,2.63,2.84
5600.0,154.08,58.66,3.29,2.85
5700.0,153.14,58.86,2.92,2.68
5800.0,154.31,58.14,2.98,2.83
5900.0,151.01,57.95,8.98,7.53
6000.0,149.34,57.29,4.98,4.05
6100.0,147.43,56.73,5.53,6.11
6200.0,147.24,56.82,4.15,5.92
6300.0,149.11,56.49,7.38,7.0
6400.0,146.53,56.62,8.04,7.25
6500.0,145.79,56.85,7.15,7.15
6600.0,146.33,56.64,7.93,6.85
6700.0,145.91,56.23,6.26,7.0
6800.0,146.67,56.66,2.97,2.64
6900.0,146.34,56.47,6.08,6.62
7000.0,148.9,57.31,7.72,7.35
